asset,description,buildingcode,buildingname,floor,directions
63487,"PL, BOTTLE FILLER WATER FILTER, Julius Romo, Corridor - A75COR",0054,Julis Romo Rabinowitz Building,A,A75CORRIDOR
63488,"PL, BOTTLE FILLER WATER FILTER, Julius Romo, Level 1, Corridor - 187COR",0054,Julis Romo Rabinowitz Building,1,1
63489,"PL, BOTTLE FILLER WATER FILTER, Julius Romo, Level 1, Corridor - 112COR",0054,Julis Romo Rabinowitz Building,1,1
63490,"PL, BOTTLE FILLER WATER FILTER, Julius Romo, Level 2, Corridor - 220COR",0054,Julis Romo Rabinowitz Building,2,2
63492,"PL, BOTTLE FILLER WATER FILTER, Julius Romo, Level 3, Vestibule - 313A",0054,Julis Romo Rabinowitz Building,3,VESTIBULE 313A
63493,"PL, BOTTLE FILLER WATER FILTER, Julius Romo,  Level 3, Vestibule - 385A",0054,Julis Romo Rabinowitz Building,3,VESTIBULE 385A
24747,"PL, BOTTLE FILLER WATER FILTER, Lewis Library",0630,Lewis Library,N/A,N/A
24742,"PL, BOTTLE FILLER WATER FILTER, Lewis Library",0630,Lewis Library,N/A,N/A
24743,"PL, BOTTLE FILLER WATER FILTER, Lewis Library",0630,Lewis Library,N/A,N/A
24744,"PL, BOTTLE FILLER WATER FILTER, Lewis Library",0630,Lewis Library,N/A,N/A
24745,"PL, BOTTLE FILLER WATER FILTER, Lewis Library",0630,Lewis Library,N/A,N/A
24746,"PL, BOTTLE FILLER WATER FILTER, Lewis Library",0630,Lewis Library,N/A,N/A
24748,"PL, BOTTLE FILLER WATER FILTER, Lewis Library",0630,Lewis Library,N/A,N/A
24730,"PL, BOTTLE FILLER WATER FILTER, Little Hall",0021_02_E85,Little Hall,2,2
24731,"PL, BOTTLE FILLER WATER FILTER, Little Hall",0021,Little Hall,N/A,N/A
24785,"PL, BOTTLE FILLER WATER FILTER, Lockhart Hall",0049_00_U27,Lockhart Hall,0,0
40291,"PL, BOTTLE FILLER WATER FILTER, MacMillan Building",0107_00_T14,MacMillan Building,0,0
24616,"PL, BOTTLE FILLER WATER FILTER, MacMillan Building",0107_01_U73,MacMillan Building,1,1
24778,"PL, BOTTLE FILLER WATER FILTER, Madison Hall",0036_01_G7,Madison Hall,1,1
67424,"SF-EQ, BOTTLE FILLER WATER FILTER, Andlinger/Maeder Hall",0730_00_L22,Maeder Hall,0,0
67425,"SF-EQ, BOTTLE FILLER WATER FILTER, Andlinger/Maeder Hall",0730_00_D26,Maeder Hall,0,0
24750,"PL, BOTTLE FILLER WATER FILTER, McCarter Theatre",0055_A_N14,McCarter Theatre,A,A
24752,"PL, BOTTLE FILLER WATER FILTER, McCarter Theatre",0055_01_O30,McCarter Theatre,1,1
24779,"PL, BOTTLE FILLER WATER FILTER, McCormick Hall",0039,McCormick Hall,N/A,N/A
24780,"PL, BOTTLE FILLER WATER FILTER, McCormick Hall",0039,McCormick Hall,N/A,N/A
24528,"PL, BOTTLE FILLER WATER FILTER, McCormick Marquand Library",0039_01_R32,McCormick Hall,1,1
24529,"PL, BOTTLE FILLER WATER FILTER, McCormick Marquand Library",0039_03_X23,McCormick Hall,3,3
24738,"PL, BOTTLE FILLER WATER FILTER, McCosh Hall",0024_00_M78,McCosh Hall,0,0
24739,"PL, BOTTLE FILLER WATER FILTER, McCosh Hall",0024_00_P33,McCosh Hall,0,0
24740,"PL, BOTTLE FILLER WATER FILTER, McCosh Hall",0024_00_P72,McCosh Hall,0,0
24741,"PL, BOTTLE FILLER WATER FILTER, McCosh Hall",0024_00_R61,McCosh Hall,0,0
40292,"PL, BOTTLE FILLER WATER FILTER, Mercer Street, 4",0518_01_H7,"Mercer Street, 4",1,1
89228,"SF-GM, BOTTLE FILLER FILTER, Moffett Laboratory",0100_03_B18,Moffett Laboratory,3,3
24449,"PL, BOTTLE FILLER WATER FILTER, Nassau Hall",0001_02_Q22,Nassau Hall,2,2
24450,"PL, BOTTLE FILLER WATER FILTER, Nassau Hall",0001_02_R16,Nassau Hall,2,2
24451,"PL, BOTTLE FILLER WATER FILTER, Nassau Hall",0001_03_P31,Nassau Hall,3,3
75352,"PL, BOTTLE FILLER WATER FILTER, Nassau Street, 185",0132_03_P8,"Nassau Street, 185",3,3
24791,"PL, BOTTLE FILLER WATER FILTER, Nassau Street, 201",0168_01_F22,"Nassau Street, 201",1,1
24755,"PL, BOTTLE FILLER WATER FILTER, New South Building",0127,New South Building,N/A,N/A
24756,"PL, BOTTLE FILLER WATER FILTER, New South Building",0127,New South Building,N/A,N/A
