locationcode,name,lat,long
0383,"McCosh Circle, 60",40.345071134900,-74.637149835900
0095,Gauss Hall,40.345101360500,-74.656691284400
0353,"Maclean Circle, 24",40.345112321600,-74.632441177800
0399,"Lake Lane, 51",40.345120870100,-74.639176940800
0612,Dillon Court West,40.345124616500,-74.658506793800
0390,"McCosh Circle, 99",40.345180236100,-74.635821508700
0164,Class of 1927-Clapp Hall,40.345202430400,-74.655751550400
0357,"Maclean Circle, 44",40.345203647000,-74.633662442900
0611,Dillon Court East,40.345235909400,-74.658157512500
0134,Rock Magnetism Laboratory,40.345251675800,-74.655151692700
0023,Patton Hall,40.345289256200,-74.657366573800
0389,"McCosh Circle, 94",40.345293085800,-74.636708131800
0037,"Dickinson Street, 24",40.345303950600,-74.662200100600
0352,"Maclean Circle, 16",40.345308817600,-74.632072665400
0864,GFDL Generator,40.345309739200,-74.616889481300
0291,"Mathey Court, Lake Lane, 26-44",40.345321877900,-74.639759340700
0126,Gas Dynamics Laboratory,40.345337723400,-74.614402548200
0604,McDonnell Hall,40.345346601000,-74.652472087900
0093,Class of 1939 Hall,40.345348456600,-74.656483543400
0040,Pyne Hall,40.345349407100,-74.659633853900
0381,"McCosh Circle, 50",40.345362287500,-74.637436651800
0568,Schultz Laboratory,40.345389266400,-74.653964854900
0045,Eno Hall,40.345424728500,-74.655286311900
0063,"Dickinson Street, 16",40.345436636000,-74.661911705000
0359,"Maclean Circle, 54",40.345445883100,-74.633930784100
0038,"University Place, 71",40.345450175500,-74.660912396200
0292,"Mathey Court, Lake Lane, 18-24",40.345458526900,-74.640202380600
0137,Geophysical Fluid Dynamics 18A/B,40.345470242200,-74.616441668100
0328,"Hartley Avenue, 44",40.345486825800,-74.641945308600
0391,"McCosh Circle, 107",40.345490720600,-74.636083757300
0457,"Dickinson Street, 12-14",40.345511257400,-74.661750219700
0094,Dodge-Osborn Hall,40.345512068000,-74.655771138200
0378,"McCosh Circle, 37",40.345528665600,-74.638319722100
0771,Grinder Lab,40.345540400100,-74.654413193400
0350,"Maclean Circle, 10",40.345542143700,-74.631619365200
0683,Dean Mathey Garage,40.345562252600,-74.639949162000
0451,"Dickinson Street, 10",40.345574075500,-74.661554391100
0452,"Dickinson Street, 8",40.345575513200,-74.661416986400
0056,Walker Hall,40.345589104600,-74.656907352900
0354,"Maclean Circle, 27",40.345598663300,-74.633078636800
0067,Dillon Gymnasium,40.345632433800,-74.658792482800
0100,Moffett Laboratory,40.345641205600,-74.653936188200
0289,"Mathey Court, Harrison Street, 289-303",40.345682639600,-74.639695297300
0078,Machine Shops,40.345705089500,-74.614330472000
0619,Wright Hall,40.345708445100,-74.657587786200
0393,"McCosh Circle, 120",40.345713847800,-74.637020718600
0379,"McCosh Circle, 40",40.345714421400,-74.637642067200
0361,"Maclean Circle, 64",40.345719593200,-74.634221844600
0351,"Maclean Circle, 11",40.345742322800,-74.632529092700
0377,"McCosh Circle, 27",40.345776014600,-74.638592356500
0060,"Dickinson Street, 2",40.345780686400,-74.661125188500
0027,Guyot Hall,40.345785583300,-74.654450547100
0139,Fine Hall,40.345789860300,-74.652368062400
0392,"McCosh Circle, 117",40.345801328100,-74.636241301200
0610,Princeton Stadium,40.345803810200,-74.650036096000
0096,"Forrestal Road Garage, 200",40.345805069800,-74.614968816100
0162,Feinberg Hall,40.345818285800,-74.656522305300
0290,"Mathey Court, Hartley Avenue, 85-99",40.345818329900,-74.640136375500
0065,"Dickinson Street, 15",40.345835083800,-74.662121237400
0043,Henry Hall,40.345844231700,-74.660651012600
0358,"Maclean Circle, 47",40.345882861400,-74.633462984500
0091,Class of 1937 Hall,40.345890021000,-74.656188945600
0030,Cuyler Hall,40.345962035100,-74.657447145000
0062,"Dickinson Street, 11",40.345962276500,-74.661854806800
0075,"Forrestal Road, 200",40.346019246200,-74.615038160900
0363,"Maclean Circle, 74",40.346030911600,-74.634451302400
0046,McCosh Infirmary,40.346031587700,-74.655438350100
0375,"McCosh Circle, 19",40.346052928600,-74.638781538200
0053,Class of 1903 Hall,40.346058680000,-74.657057743200
0656,"Hartley Avenue, 78",40.346088386700,-74.640572362200
0047,Class of 1901-Laughlin Hall,40.346090121300,-74.660187073200
0578,"Alexander Street, 26",40.346108225900,-74.663091619600
0722,High-Performance Computing Research Center,40.346128779400,-74.616070487400
0360,"Maclean Circle, 59",40.346152837600,-74.633685967100
0662,"Hartley Avenue, 82",40.346164693100,-74.640379827900
