asset,description,buildingcode,building
25014,"PL, BOTTLE FILLER WATER FILTER, Corwin Hall",0085_01_W13,Corwin Hall
25015,"PL, BOTTLE FILLER WATER FILTER, Corwin Hall",0085_02_D5,Corwin Hall
24775,"PL, BOTTLE FILLER WATER FILTER, Cuyler Hall",0030_A_G19,Cuyler Hall
56115,"PL, BOTTLE FILLER WATER FILTER, DeNunzio Pool (DECK)",170,DeNunzio Pool
25012,"PL, BOTTLE FILLER WATER FILTER, DeNunzio Pool",0170_01_D25,DeNunzio Pool
25013,"PL, BOTTLE FILLER WATER FILTER, DeNunzio Pool",0170_A_D28,DeNunzio Pool
57801,"PL, BOTTLE FILLER WATER FILTER, 2 Dickinson Street",0060_01_G5,"Dickinson Street, 2"
68276,"PL, BOTTLE FILLER WATER FILTER, Dillon Gym (located near Vending A20)",67,Dillon Gymnasium
68275,"PL, BOTTLE FILLER WATER FILTER, Dillon Gym (located near Vending A36)",67,Dillon Gymnasium
89218,"PL, BOTTLE FILLER WATER FILTER, Dillon Gym",0067_01_V50,Dillon Gymnasium
24787,"PL, BOTTLE FILLER WATER FILTER, Dillon Gym",0067_B_G16,Dillon Gymnasium
24788,"PL, BOTTLE FILLER WATER FILTER, Dillon Gym",67,Dillon Gymnasium
91920,"PL, BOTTLE FILLER WATER FILTER, Dod Hall",0012_A_G26,Dod Hall
91921,"PL, BOTTLE FILLER WATER FILTER, Dod Hall",0012_A_G12,Dod Hall
24729,"PL, BOTTLE FILLER WATER FILTER, Dodge Hall",20,Dodge Hall
64755,"PL, BOTTLE FILLER WATER FILTER, Dodge Hall (Second floor kitchenette )",20,Dodge Hall
24728,"PL, BOTTLE FILLER WATER FILTER, Dodge Hall",20,Dodge Hall
24792,"PL, BOTTLE FILLER WATER FILTER, Dodge-Osborn Hall",0094_00_F14,Dodge-Osborn Hall
24531,"PL, BOTTLE FILLER WATER FILTER, Edwards Hall",0010_A_G12,Edwards Hall
72130,"PL, BOTTLE FILLER WATER FILTER, LCA",0754_02_AAA34,Effron Music Building
24767,"PL, BOTTLE FILLER WATER FILTER, Elm Drive, 200",44,"Elm Drive, 200"
24768,"PL, BOTTLE FILLER WATER FILTER, Elm Drive, 200",44,"Elm Drive, 200"
25043,"PL, BOTTLE FILLER WATER FILTER, Engineering Quad A-Wing",0101_04_L31,Engineering Quad A-Wing
25040,"PL, BOTTLE FILLER WATER FILTER, Engineering Quad A-Wing",0101_01_K3,Engineering Quad A-Wing
25041,"PL, BOTTLE FILLER WATER FILTER, Engineering Quad A-Wing",0101_02_K2,Engineering Quad A-Wing
25042,"PL, BOTTLE FILLER WATER FILTER, Engineering Quad A-Wing",0101_03_K2,Engineering Quad A-Wing
25039,"PL, BOTTLE FILLER WATER FILTER, Engineering Quad B-Wing",0102_04_J3,Engineering Quad B-Wing
25036,"PL, BOTTLE FILLER WATER FILTER, Engineering Quad B-Wing",0102_01_I2,Engineering Quad B-Wing
25037,"PL, BOTTLE FILLER WATER FILTER, Engineering Quad B-Wing",0102_02_I5,Engineering Quad B-Wing
25038,"PL, BOTTLE FILLER WATER FILTER, Engineering Quad B-Wing",0102_03_I1,Engineering Quad B-Wing
25034,"PL, BOTTLE FILLER WATER FILTER, Engineering Quad C-Wing",0103_02_F3,Engineering Quad C-Wing
25035,"PL, BOTTLE FILLER WATER FILTER, Engineering Quad C-Wing",0103_03_J40,Engineering Quad C-Wing
25031,"PL, BOTTLE FILLER WATER FILTER, Engineering Quad D-Wing",0104_02_K38,Engineering Quad D-Wing
25033,"PL, BOTTLE FILLER WATER FILTER, Engineering Quad D-Wing",0104_04_T7,Engineering Quad D-Wing
25032,"PL, BOTTLE FILLER WATER FILTER, Engineering Quad D-Wing",0104_03_K38,Engineering Quad D-Wing
25027,"PL, BOTTLE FILLER WATER FILTER, Engineering Quad E-Wing",0105_01_N7,Engineering Quad E-Wing
25029,"PL, BOTTLE FILLER WATER FILTER, Engineering Quad E-Wing",0105_03_N8,Engineering Quad E-Wing
25030,"PL, BOTTLE FILLER WATER FILTER, Engineering Quad E-Wing",0105_04_N8,Engineering Quad E-Wing
25028,"PL, BOTTLE FILLER WATER FILTER, Engineering Quad E-Wing",0105_02_N10,Engineering Quad E-Wing
25025,"PL, BOTTLE FILLER WATER FILTER, Engineering Quad G-Wing",156,Engineering Quad G-Wing
25026,"PL, BOTTLE FILLER WATER FILTER, Engineering Quad G-Wing",156,Engineering Quad G-Wing
25021,"PL, BOTTLE FILLER WATER FILTER, Engineering Quad J-Wing",0552_01_H6,Engineering Quad J-Wing
25022,"PL, BOTTLE FILLER WATER FILTER, Engineering Quad J-Wing",0552_02_H34,Engineering Quad J-Wing
25023,"PL, BOTTLE FILLER WATER FILTER, Engineering Quad J-Wing",0552_04_S11,Engineering Quad J-Wing
25024,"PL, BOTTLE FILLER WATER FILTER, Engineering Quad J-Wing",0552_04_S11,Engineering Quad J-Wing
24749,"PL, BOTTLE FILLER WATER FILTER, FIine Hall",139,Fine Hall
24762,"PL, BOTTLE FILLER WATER FILTER, Fisher Hall",0172_00_I27,Fisher Hall
24763,"PL, BOTTLE FILLER WATER FILTER, Fisher Hall",0172_03_I31,Fisher Hall
24764,"PL, BOTTLE FILLER WATER FILTER, Fisher Hall, A Level, Circulation - B10COR",172,Fisher Hall
24765,"PL, BOTTLE FILLER WATER FILTER, Fisher Hall",0172_02_I30,Fisher Hall
24766,"PL, BOTTLE FILLER WATER FILTER, Fisher Hall",0172_01_I32,Fisher Hall
90941,"PL, BOTTLE FILLER WATER FILTER, Fisher Hall, Trash Room A220",0671_02_H43,Fisher Hall Dorm
90940,"PL, BOTTLE FILLER WATER FILTER, Fisher Hall, Trash Room A120",0671_01_H43,Fisher Hall Dorm
52816,"PL, BOTTLE FILLER WATER FILTER, Forbes College Main",0148_02_R37,Forbes College Main
53546,"PL, BOTTLE FILLER WATER FILTER, Forbes College Main",0148_01_M28,Forbes College Main
58562,"PL, BOTTLE FILLER WATER FILTER, Forbes College Main- kitchenette",0148_A_N6,Forbes College Main
81544,"PL, BOTTLE FILLER WATER FILTER, Foulke Hall",0042_01_D24,Foulke Hall
81545,"PL, BOTTLE FILLER WATER FILTER, Foulke Hall",0042_02_D24,Foulke Hall
52658,"PL, BOTTLE FILLER WATER FILTER, Graduate College, New",0113_01_FF39,"Graduate College, New"
75003,"PL, BOTTLE FILLER WATER FILTER, Graduate College, Old",0033_A_V51,"Graduate College, Old"
82502,"SF-GM, BOTTLE FILLER WATER FILTER, Guyot Hall",0027_B_R47,Guyot Hall
50690,"PL, BOTTLE FILLER WATER FILTER, Guyot Hall",27,Guyot Hall
50691,"PL, BOTTLE FILLER WATER FILTER, Guyot Hall",27,Guyot Hall
92788,"PL, BOTTLE FILLER WATER FILTER, Guyot Hall M164",0027_1I_A06290,Guyot Hall
64655,"PL, BOTTLE FILLER WATER FILTER, Haaga House",770,Haaga House
67592,"PL, BOTTLE FILLER WATER FILTER, Helm Building",0595_01_K19,Helm Building
67593,"PL, BOTTLE FILLER WATER FILTER, Helm Building",0595_02_H20,Helm Building
67594,"PL, BOTTLE FILLER WATER FILTER, Helm Building",0595_03_I20,Helm Building
67595,"PL, BOTTLE FILLER WATER FILTER, Helm Building",0595_04_H20,Helm Building
30509,"PL, BOTTLE FILLER WATER FILTER, Jadwin Gymnasium",0140_A_A03547,Jadwin Gymnasium
24985,"PL, BOTTLE FILLER WATER FILTER, Jadwin Gymnasium",140,Jadwin Gymnasium
24986,"PL, BOTTLE FILLER WATER FILTER, Jadwin Gymnasium",140,Jadwin Gymnasium
24987,"PL, BOTTLE FILLER WATER FILTER, Jadwin Gymnasium",140,Jadwin Gymnasium
24988,"PL, BOTTLE FILLER WATER FILTER, Jadwin Gymnasium",140,Jadwin Gymnasium
24989,"PL, BOTTLE FILLER WATER FILTER, Jadwin Gymnasium",140,Jadwin Gymnasium
24786,"PL, BOTTLE FILLER WATER FILTER, Joline Hall",0059_A_F21,Joline Hall
68064,"PL, BOTTLE FILLER WATER FILTER, Julis Romo Rabinowitz Building, Level 3, Pantry - 398",0054_03_L89,Julis Romo Rabinowitz Building
68063,"PL, BOTTLE FILLER WATER FILTER, Julis Romo Rabinowitz Building, Level 2, Pantry - 296",0054_02_I96,Julis Romo Rabinowitz Building
68061,"PL, BOTTLE FILLER WATER FILTER, Julis Romo Rabinowitz Building, Level A, Lounge - A04",0054_A_C57,Julis Romo Rabinowitz Building
68059,"PL, BOTTLE FILLER WATER FILTER, Julis Romo Rabinowitz Building, Level A, Corridor - A97COR",0054_A_N89,Julis Romo Rabinowitz Building
68060,"PL, BOTTLE FILLER WATER FILTER, Julis Romo Rabinowitz Building, Level 3, Pantry - 396A",0054_03_J96,Julis Romo Rabinowitz Building
63491,"PL, BOTTLE FILLER WATER FILTER, Julius Romo, Level 2, Corridor - 235CORC",54,Julis Romo Rabinowitz Building
63485,"PL, BOTTLE FILLER WATER FILTER, Julius Romo, Level B, Corridor - B48COR",54,Julis Romo Rabinowitz Building
63486,"PL, BOTTLE FILLER WATER FILTER, Julius Romo,  Corridor - A30COR",54,Julis Romo Rabinowitz Building
63487,"PL, BOTTLE FILLER WATER FILTER, Julius Romo, Corridor - A75COR",54,Julis Romo Rabinowitz Building
63488,"PL, BOTTLE FILLER WATER FILTER, Julius Romo, Level 1, Corridor - 187COR",54,Julis Romo Rabinowitz Building
63489,"PL, BOTTLE FILLER WATER FILTER, Julius Romo, Level 1, Corridor - 112COR",54,Julis Romo Rabinowitz Building
63490,"PL, BOTTLE FILLER WATER FILTER, Julius Romo, Level 2, Corridor - 220COR",54,Julis Romo Rabinowitz Building
63492,"PL, BOTTLE FILLER WATER FILTER, Julius Romo, Level 3, Vestibule - 313A",54,Julis Romo Rabinowitz Building
63493,"PL, BOTTLE FILLER WATER FILTER, Julius Romo,  Level 3, Vestibule - 385A",54,Julis Romo Rabinowitz Building
24747,"PL, BOTTLE FILLER WATER FILTER, Lewis Library",630,Lewis Library
24742,"PL, BOTTLE FILLER WATER FILTER, Lewis Library",630,Lewis Library
24743,"PL, BOTTLE FILLER WATER FILTER, Lewis Library",630,Lewis Library
24744,"PL, BOTTLE FILLER WATER FILTER, Lewis Library",630,Lewis Library
24745,"PL, BOTTLE FILLER WATER FILTER, Lewis Library",630,Lewis Library
24746,"PL, BOTTLE FILLER WATER FILTER, Lewis Library",630,Lewis Library
24748,"PL, BOTTLE FILLER WATER FILTER, Lewis Library",630,Lewis Library
24730,"PL, BOTTLE FILLER WATER FILTER, Little Hall",0021_02_E85,Little Hall
24731,"PL, BOTTLE FILLER WATER FILTER, Little Hall",21,Little Hall
24785,"PL, BOTTLE FILLER WATER FILTER, Lockhart Hall",0049_00_U27,Lockhart Hall
40291,"PL, BOTTLE FILLER WATER FILTER, MacMillan Building",0107_00_T14,MacMillan Building
24616,"PL, BOTTLE FILLER WATER FILTER, MacMillan Building",0107_01_U73,MacMillan Building
24778,"PL, BOTTLE FILLER WATER FILTER, Madison Hall",0036_01_G7,Madison Hall
67424,"SF-EQ, BOTTLE FILLER WATER FILTER, Andlinger/Maeder Hall",0730_00_L22,Maeder Hall
67425,"SF-EQ, BOTTLE FILLER WATER FILTER, Andlinger/Maeder Hall",0730_00_D26,Maeder Hall
24750,"PL, BOTTLE FILLER WATER FILTER, McCarter Theatre",0055_A_N14,McCarter Theatre
24752,"PL, BOTTLE FILLER WATER FILTER, McCarter Theatre",0055_01_O30,McCarter Theatre
24779,"PL, BOTTLE FILLER WATER FILTER, McCormick Hall",39,McCormick Hall
24780,"PL, BOTTLE FILLER WATER FILTER, McCormick Hall",39,McCormick Hall
24528,"PL, BOTTLE FILLER WATER FILTER, McCormick Marquand Library",0039_01_R32,McCormick Hall
24529,"PL, BOTTLE FILLER WATER FILTER, McCormick Marquand Library",0039_03_X23,McCormick Hall
24738,"PL, BOTTLE FILLER WATER FILTER, McCosh Hall",0024_00_M78,McCosh Hall
24739,"PL, BOTTLE FILLER WATER FILTER, McCosh Hall",0024_00_P33,McCosh Hall
24740,"PL, BOTTLE FILLER WATER FILTER, McCosh Hall",0024_00_P72,McCosh Hall
24741,"PL, BOTTLE FILLER WATER FILTER, McCosh Hall",0024_00_R61,McCosh Hall
40292,"PL, BOTTLE FILLER WATER FILTER, Mercer Street, 4",0518_01_H7,"Mercer Street, 4"
89228,"SF-GM, BOTTLE FILLER FILTER, Moffett Laboratory",0100_03_B18,Moffett Laboratory
24449,"PL, BOTTLE FILLER WATER FILTER, Nassau Hall",0001_02_Q22,Nassau Hall
24450,"PL, BOTTLE FILLER WATER FILTER, Nassau Hall",0001_02_R16,Nassau Hall
24451,"PL, BOTTLE FILLER WATER FILTER, Nassau Hall",0001_03_P31,Nassau Hall
75352,"PL, BOTTLE FILLER WATER FILTER, Nassau Street, 185",0132_03_P8,"Nassau Street, 185"
24791,"PL, BOTTLE FILLER WATER FILTER, Nassau Street, 201",0168_01_F22,"Nassau Street, 201"
24755,"PL, BOTTLE FILLER WATER FILTER, New South Building",127,New South Building
24756,"PL, BOTTLE FILLER WATER FILTER, New South Building",127,New South Building
24757,"PL, BOTTLE FILLER WATER FILTER, New South Building",127,New South Building
24758,"PL, BOTTLE FILLER WATER FILTER, New South Building",127,New South Building
24759,"PL, BOTTLE FILLER WATER FILTER, New South Building",127,New South Building
24760,"PL, BOTTLE FILLER WATER FILTER, New South Building",127,New South Building
24761,"PL, BOTTLE FILLER WATER FILTER, New South Building",127,New South Building
24736,"PL, BOTTLE FILLER WATER FILTER, Patton Hall",0023_03_K34,Patton Hall
24737,"PL, BOTTLE FILLER WATER FILTER, Patton Hall",0023_04_I17,Patton Hall
24732,"PL, BOTTLE FILLER WATER FILTER, Patton Hall",23,Patton Hall
24733,"PL, BOTTLE FILLER WATER FILTER, Patton Hall",0023_A_K55,Patton Hall
24734,"PL, BOTTLE FILLER WATER FILTER, Patton Hall",0023_01_H53,Patton Hall
24735,"PL, BOTTLE FILLER WATER FILTER, Patton Hall",0023_02_M19,Patton Hall
50842,"PL, BOTTLE FILLER WATER FILTER, Neuroscience",0659_BC_FF10,Princeton Neuroscience Institute
50843,"PL, BOTTLE FILLER WATER FILTER, Neuroscience",0659_A_W9,Princeton Neuroscience Institute
50844,"PL, BOTTLE FILLER WATER FILTER, Neuroscience",0659_A_NN27,Princeton Neuroscience Institute
50845,"PL, BOTTLE FILLER WATER FILTER, Neuroscience",0659_01_Z9,Princeton Neuroscience Institute
50846,"PL, BOTTLE FILLER WATER FILTER, Neuroscience",0659_01_NN28,Princeton Neuroscience Institute
50847,"PL, BOTTLE FILLER WATER FILTER, Neuroscience",0659_02_AA9,Princeton Neuroscience Institute
50991,"PL, BOTTLE FILLER WATER FILTER, Neuroscience",0659_02_GG28,Princeton Neuroscience Institute
52822,"PL, BOTTLE FILLER WATER FILTER, OUTDOOR- Princeton Stadium",0610_01_TTT66,Princeton Stadium
52824,"PL, BOTTLE FILLER WATER FILTER, OUTDOOR- Princeton Stadium",0610_01_L66,Princeton Stadium
52823,"PL, BOTTLE FILLER WATER FILTER, OUTDOOR- Princeton Stadium",0610_01_TTT66,Princeton Stadium
52825,"PL, BOTTLE FILLER WATER FILTER, OUTDOOR- Princeton Stadium",0610_01_L66,Princeton Stadium
57409,"PL, BOTTLE FILLER WATER FILTER, Princeton Stadium",0610_00_MMM14,Princeton Stadium
25018,"PL, BOTTLE FILLER WATER FILTER, Prospect Avenue, 58",0586_01_T4,"Prospect Avenue, 58"
25019,"PL, BOTTLE FILLER WATER FILTER, Prospect Avenue, 58",0586_02_W3,"Prospect Avenue, 58"
25020,"PL, BOTTLE FILLER WATER FILTER, Prospect Avenue, 58",0586_03_V3,"Prospect Avenue, 58"
67225,"PL, BOTTLE FILLER WATER FILTER, Prospect Avenue, 91",0122_01_E16,"Prospect Avenue, 91"
90949,"PL, BOTTLE FILLER WATER FILTER, Scheide Caldwell House, Hallway 102COR",0624_01_G4,Scheide Caldwell House
90950,"PL, BOTTLE FILLER WATER FILTER, Scheide Caldwell House, Hallway 202COR",0624_02_G4,Scheide Caldwell House
89215,"SF-GM, BOTTLE FILLER WATER FILTER, Schultz Laboratory",0568_01_K30,Schultz Laboratory
24799,"PL, BOTTLE FILLER WATER FILTER, Scully Hall",0603_02_UU18,Scully Hall
24796,"PL, BOTTLE FILLER WATER FILTER, Scully Hall",0603_01_UU18,Scully Hall
24797,"PL, BOTTLE FILLER WATER FILTER, Scully Hall",0603_01_TT54,Scully Hall
24798,"PL, BOTTLE FILLER WATER FILTER, Scully Hall",0603_01_K55,Scully Hall
24800,"PL, BOTTLE FILLER WATER FILTER, Scully Hall",0603_03_A03049,Scully Hall
24776,"PL, BOTTLE FILLER WATER FILTER, Shea Rowing Center",32,Shea Rowing Center
24777,"PL, BOTTLE FILLER WATER FILTER, Shea Rowing Center",32,Shea Rowing Center
24980,"PL, BOTTLE FILLER WATER FILTER, Sherrerd Hall",0653_A_J7,Sherrerd Hall
24981,"PL, BOTTLE FILLER WATER FILTER, Sherrerd Hall",653,Sherrerd Hall
24982,"PL, BOTTLE FILLER WATER FILTER, Sherrerd Hall",653,Sherrerd Hall
24979,"PL, BOTTLE FILLER WATER FILTER, Sherrerd Hall",0653_01_H7,Sherrerd Hall
